Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,English Learner,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2022,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.69%,             423,             409,             285,               0,             117,               0,<,     1.89%
2022,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    74.14%,              58,              43,              10,               0,              33,               0,               0,    25.86%
2022,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    93.73%,             271,             254,             169,               0,              79,               0,<,     4.43%
2022,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    79.17%,              24,              19,               4,               0,              14,               0,<,    20.83%
2022,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    97.61%,             293,             286,             231,               0,              52,               0,<,      .34%
2022,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2022,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    96.01%,"           1,002",             962,             687,               0,             259,               0,              16,     2.10%
2022,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    74.12%,              85,              63,              14,               0,              48,               0,<,    24.71%
2022,State,,,,,On-Time Graduation Rate,4 yr rate,N,    93.79%,"          91,109","          85,451","          49,848",             867,"          32,854",               0,"           1,882",     3.55%
2022,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    72.72%,"           7,614","           5,537","           1,429",              23,"           3,821",<,             263,    24.45%
2023,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    94.46%,             415,             392,             279,               0,             104,               0,<,     3.37%
2023,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    75.41%,              61,              46,              13,               0,              32,               0,<,    22.95%
2023,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    96.28%,             323,             311,             206,               0,             103,               0,<,     1.86%
2023,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    72.73%,              22,              16,               4,               0,              12,               0,               0,    27.27%
2023,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.76%,             278,             269,             209,               0,              56,               0,<,     2.16%
2023,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2023,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    95.50%,"           1,044",             997,             702,               1,             279,               0,              15,     2.59%
2023,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    75.58%,              86,              65,              18,               0,              44,               0,<,    23.26%
2023,State,,,,,On-Time Graduation Rate,4 yr rate,N,    93.87%,"          90,380","          84,840","          48,600",             766,"          33,631",<,"           1,840",     3.52%
2023,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    72.48%,"           8,575","           6,215","           1,602",              11,"           4,289",<,             312,    24.61%
2024,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    94.23%,             433,             408,             276,               0,             124,               0,<,     3.70%
2024,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    68.57%,              70,              48,              13,               0,              33,               0,<,    31.43%
2024,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    95.31%,             277,             264,             162,               0,              98,               0,<,     2.53%
2024,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    88.89%,              18,              16,               3,               0,              12,               0,<,    11.11%
2024,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.42%,             262,             250,             194,               0,              54,               0,<,     1.91%
2024,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2024,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    94.95%,             990,             940,             646,               0,             280,               0,              14,     2.83%
2024,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    73.33%,              90,              66,              18,               0,              45,               0,<,    26.67%
2024,State,,,,,On-Time Graduation Rate,4 yr rate,N,    94.03%,"          90,938","          85,505","          48,372",             385,"          35,142",<,"           1,603",     3.31%
2024,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    78.88%,"           7,686","           6,063","           1,581",               2,"           4,218",               0,             262,    18.55%
